Date,Narration,Debit,Credit,Balance
01/08/2026,UBER INDIA PAYOUT NEFT,,1850.00,6850.00
02/08/2026,SWIGGY PAYOUT NEFT,,1200.00,8050.00
03/08/2026,ATM WITHDRAWAL,1500.00,,6550.00
04/08/2026,UBER INDIA PAYOUT NEFT,,2100.00,8650.00
05/08/2026,GROCERY STORE DEBIT CARD,650.00,,8000.00
06/08/2026,SWIGGY PAYOUT NEFT,,1400.00,9400.00
07/08/2026,MOBILE RECHARGE,299.00,,9101.00
08/08/2026,UBER INDIA PAYOUT NEFT,,1950.00,11051.00
09/08/2026,SWIGGY PAYOUT NEFT,,1300.00,12351.00
10/08/2026,ATM WITHDRAWAL,2000.00,,10351.00
11/08/2026,UBER INDIA PAYOUT NEFT,,2200.00,12551.00
12/08/2026,GROCERY STORE DEBIT CARD,800.00,,11751.00
13/08/2026,SWIGGY PAYOUT NEFT,,1350.00,13101.00
14/08/2026,MOBILE RECHARGE,299.00,,12802.00
15/08/2026,UBER INDIA PAYOUT NEFT,,2050.00,14852.00
16/08/2026,SWIGGY PAYOUT NEFT,,1250.00,16102.00
17/08/2026,ATM WITHDRAWAL,1800.00,,14302.00
18/08/2026,UBER INDIA PAYOUT NEFT,,2150.00,16452.00
19/08/2026,GROCERY STORE DEBIT CARD,700.00,,15752.00
20/08/2026,SWIGGY PAYOUT NEFT,,1400.00,17152.00
21/08/2026,MOBILE RECHARGE,299.00,,16853.00
22/08/2026,UBER INDIA PAYOUT NEFT,,2000.00,18853.00
23/08/2026,SWIGGY PAYOUT NEFT,,1300.00,20153.00
24/08/2026,ATM WITHDRAWAL,2200.00,,17953.00
25/08/2026,UBER INDIA PAYOUT NEFT,,2100.00,20053.00
26/08/2026,GROCERY STORE DEBIT CARD,750.00,,19303.00
27/08/2026,SWIGGY PAYOUT NEFT,,1350.00,20653.00
28/08/2026,MOBILE RECHARGE,299.00,,20354.00
